C92_070_s2_CNV,xGenUDI49
C92_008_s10_CNV,xGenUDI50
C92_044_s6_CNV,xGenUDI51
C92_090_s2_CNV,xGenUDI52
C92_068_s2_CNV,xGenUDI53
C92_064_s3_CNV,xGenUDI54
C92_041_s6_CNV,xGenUDI55
C92_043_s6_CNV,xGenUDI56
CNTRL_187_s2_CNV,xGenUDI57
CNTRL_201_s2_CNV,xGenUDI58
CNTRL_164_s6_CNV,xGenUDI59
CNTRL_173_s3_CNV,xGenUDI60
CNTRL_167_s2_CNV,xGenUDI61
CNTRL_161_s10_CNV,xGenUDI62
CNTRL_163_s6_CNV,xGenUDI63
CNTRL_165_s6_CNV,xGenUDI64
C92_086_s5_CNV,xGenUDI65
C92_015_s7_CNV,xGenUDI66
CNTRL_184_s5_CNV,xGenUDI67
C92_048_s5_CNV,xGenUDI68
C92_034_s7_CNV,xGenUDI69
CNTRL_191_s7_CNV,xGenUDI70
CNTRL_172_s7_CNV,xGenUDI71
CNTRL_202_s5_CNV,xGenUDI72
C92_033_s7_CNV,xGenUDI73
C92_067_s2_CNV,xGenUDI74
C92_019_s8_CNV,xGenUDI75
C92_045_s6_CNV,xGenUDI76
C92_061_s3_CNV,xGenUDI77
C92_050_s4_CNV,xGenUDI78
C92_062_s3_CNV,xGenUDI79
C92_051_s5_CNV,xGenUDI80
CNTRL_171_s2_CNV,xGenUDI81
CNTRL_180_s3_CNV,xGenUDI82
CNTRL_175_s3_CNV,xGenUDI83
CNTRL_192_s7_CNV,xGenUDI84
CNTRL_178_s5_CNV,xGenUDI85
CNTRL_194_s8_CNV,xGenUDI86
CNTRL_190_s4_CNV,xGenUDI87
CNTRL_197_s6_CNV,xGenUDI88
