NRAS,ENST00000369535.4,NM_002524,,
CBL,ENST00000264033.4,NM_005188,,
KRAS,ENST00000256078.4,NM_033360,,
PTPN11,ENST00000351677.2,NM_002834,,
FLT3,ENST00000241453.7,NM_004119,,
IDH2,ENST00000330062.3,NM_002168,,
TP53,ENST00000269305.4,NM_001126112,,
PPM1D,ENST00000305921.3,NM_003620,,
SRSF2,ENST00000392485.2,NM_003016,,
CEBPA,ENST00000498907.2,NM_001287424,,
DNMT3A,ENST00000321117.5,NM_022552,,
SF3B1,ENST00000335508.6,NM_012433,,
IDH1,ENST00000345146.2,NM_005896,,
ASXL1,ENST00000375687.4,NM_015338,,
RUNX1,ENST00000344691.4,NM_001001890,,
U2AF1,ENST00000291552.4,NM_006758,,
TET2,ENST00000380013.4,NM_001127208,,
NPM1,ENST00000296930.5,NM_002520,,
JAK2,ENST00000381652.3,NM_004972,,
STAG2,ENST00000371160.1,NM_001282418,,
GNB1,ENST00000378609.4,NM_001282539,,
GNAS,ENST00000371100.4,NM_080425,,
BCOR,ENST00000378444.4,NM_001123385,,
CHEK2,ENST00000328354.6,NM_007194,,
MPL,ENST00000372470.3,NM_005373,,
ZRSR2,ENST00000307771.7,NM_005089,,
WT1,ENST00000332351.3,NM_024424,,
KIT,ENST00000288135.5,NM_000222,,
EZH2,ENST00000320356.2,NM_001203247,,
GATA2,ENST00000487848.1,NM_001145661,,
BCORL1,ENST00000540052.1,NM_021946,,
RAD21,ENST00000297338.2,NM_006265,,
DDX41,ENST00000507955.1,NM_016222,,
CSF3R,ENST00000373106.1,NM_000760,,
